DemandRegion,Product,ShipmentSize,ServiceLevel,Period,DemandBundle,AmountDemanded,SolverInclude
ST_1000_DT_VA_Chesapeake_23322-5231,DT,Outbound,DTR_SVC,Peak_2021,ST_1000_DT_VA_Chesapeake_23322-5231,2179,Yes
ST_1001_DT_MI_Saginaw_48638-4396,DT,Outbound,DTR_SVC,Peak_2021,ST_1001_DT_MI_Saginaw_48638-4396,2292,Yes
ST_1003_DT_NY_West Seneca_14224-3438,DT,Outbound,DTR_SVC,Peak_2021,ST_1003_DT_NY_West Seneca_14224-3438,3125,Yes
ST_1004_DT_PA_Everett_15537-6934,DT,Outbound,DTR_SVC,Peak_2021,ST_1004_DT_PA_Everett_15537-6934,1687,Yes
ST_1005_DT_NC_Boone_28607-5261,DT,Outbound,DTR_SVC,Peak_2021,ST_1005_DT_NC_Boone_28607-5261,1397,Yes
ST_1006_DT_VA_Colonial Heights_23834-3005,DT,Outbound,DTR_SVC,Peak_2021,ST_1006_DT_VA_Colonial Heights_23834-3005,3016,Yes
ST_1007_DT_VA_Wytheville_24382-3488,DT,Outbound,DTR_SVC,Peak_2021,ST_1007_DT_VA_Wytheville_24382-3488,1804,Yes
ST_1008_DT_NY_Clifton Park_12065-2924,DT,Outbound,DTR_SVC,Peak_2021,ST_1008_DT_NY_Clifton Park_12065-2924,2565,Yes
ST_1009_DT_WI_Appleton_54913,DT,Outbound,DTR_SVC,Peak_2021,ST_1009_DT_WI_Appleton_54913,1914,Yes
ST_1010_DT_FL_Atlantic Beach_32233-3311,DT,Outbound,DTR_SVC,Peak_2021,ST_1010_DT_FL_Atlantic Beach_32233-3311,2164,Yes
ST_1011_DT_TX_Marshall_75670-0703,DT,Outbound,DTR_SVC,Peak_2021,ST_1011_DT_TX_Marshall_75670-0703,2125,Yes
ST_1012_DT_PA_Brentwood_15227-3255,DT,Outbound,DTR_SVC,Peak_2021,ST_1012_DT_PA_Brentwood_15227-3255,2645,Yes
ST_1013_DT_MN_St. Louis Park_55426-3919,DT,Outbound,DTR_SVC,Peak_2021,ST_1013_DT_MN_St. Louis Park_55426-3919,1726,Yes
ST_1015_DT_TN_Nashville_37214-2386,DT,Outbound,DTR_SVC,Peak_2021,ST_1015_DT_TN_Nashville_37214-2386,1522,Yes
ST_1016_DT_VA_Hampton_23669-4401,DT,Outbound,DTR_SVC,Peak_2021,ST_1016_DT_VA_Hampton_23669-4401,1833,Yes
ST_1017_DT_NY_Delmar_12054-1304,DT,Outbound,DTR_SVC,Peak_2021,ST_1017_DT_NY_Delmar_12054-1304,1168,Yes
